Amazon	Atlantic Forest	Caatinga	Cerrado	Pantanal	Pampa
169	169	169	169	169	1435
390	156	156	156	166	166
396	319	390	390	390	169
398	390	396	396	396	390
408	396	398	398	398	396
444	398	408	408	408	398
482	408	482	482	482	408
530	482	529	529	529	482
812	528	530	530	530	528
946	529	812	812	812	530
1507	530	946	946	946	812
2118	812	2118	2118	2118	821
2590	2118	2590	2590	2590	946
2592	2590	2592	2592	2592	1023
3701	2592	3701	3701	3701	2118
5185	2670	5185	5185	5185	2590
7494	3701	7494	7494	7494	2592
8771	5185	7504	7504	7504	2606
	5568	7540	7540	7540	2670
	7494	8771	8771	8771	3701
	7540				5185
	8771				5298
					5565
					7494
					7526
					7540
					8771
